OrderID,Region,Product,SalesRep,Units,UnitPrice,TotalSales,Discount(%),Profit,OrderDate
94,North,Laptop,John,40,1117,44680,15,12747.914987095057,2021-02-15
95,East,Keyboard,John,16,1712,27392,15,9181.430230647788,2020-10-30
96,South,Mouse,Ali,24,428,10272,5,3395.6870389935143,2022-11-12
97,West,Smartphone,Ali,4,438,1752,0,649.3556249469983,2022-07-25
98,South,Keyboard,Sara,30,107,3210,10,891.6502856115306,2023-10-12
99,East,Printer,Hamza,5,1439,7195,0,2465.048643551102,2024-10-19
100,West,Keyboard,Ali,46,478,21988,0,7507.282160348171,2024-10-07
101,West,Mouse,Emma,32,365,11680,5,4286.875934202552,2020-05-15
102,South,Smartphone,Hamza,41,1978,81098,5,16011.441893459876,2023-04-12
103,East,Keyboard,Ali,3,1871,5613,5,1860.9940063812871,2023-06-23
104,North,Monitor,Sara,41,1570,64370,15,7447.196254924757,2023-03-23
105,West,Tablet,David,19,458,8702,10,1645.0880922681458,2024-05-08
106,West,Smartphone,Hamza,30,1301,39030,5,8209.11366537387,2022-03-11
107,West,Monitor,Emma,46,708,32568,0,10750.384256385138,2022-09-21
108,South,Tablet,Emma,23,1687,38801,20,6652.874624959756,2023-02-02
109,East,Keyboard,Sara,17,1444,24548,10,6595.759099988163,2024-08-24
110,South,Smartphone,Ali,5,890,4450,20,645.2622776250666,2020-05-21
111,North,Mouse,Ali,11,1121,12331,5,3395.8016789428557,2022-05-11
112,East,Keyboard,Hamza,49,1537,75313,5,9238.701401477594,2023-08-22
113,South,Laptop,John,31,456,14136,10,4658.713781682863,2023-12-26
114,West,Mouse,John,45,1861,83745,15,25998.45644050724,2020-04-15
115,North,Keyboard,Hamza,15,1097,16455,10,1558.9318692205786,2022-02-21
116,West,Monitor,Sophia,2,1292,2584,5,369.9883491809926,2022-02-13
117,East,Monitor,Ali,38,1909,72542,10,24897.243397972146,2023-07-15
118,East,Mouse,Hamza,14,166,2324,5,306.89176746142186,2024-04-20
119,East,Keyboard,David,20,573,11460,5,2449.8642195742827,2021-10-26
120,West,Mouse,David,1,1601,1601,0,504.75422537895315,2021-12-04
121,West,Printer,Emma,33,1143,37719,0,5250.963954670072,2021-08-19
122,South,Tablet,Hamza,40,1363,54520,20,4369.211309466277,2022-06-06
123,East,Mouse,David,40,1162,46480,15,14831.327908579771,2022-07-27
124,East,Printer,David,45,1207,54315,10,8574.775044148812,2021-12-15
125,West,Keyboard,Ali,14,1623,22722,5,2834.4284760644478,2020-02-28
126,East,Mouse,Ali,36,1652,59472,20,8236.388896770557,2022-09-12
127,East,Monitor,Hamza,24,1045,25080,15,4683.721640023126,2022-05-02
128,South,Mouse,Ali,46,593,27278,20,2577.2906032643727,2024-09-10
129,East,Mouse,Hamza,35,116,4060,15,383.3591684267732,2023-02-07
130,West,Smartphone,John,47,195,9165,0,1713.1055911821913,2024-06-23
131,West,Tablet,Emma,1,1702,1702,5,498.77983477286443,2020-08-06
132,South,Printer,David,38,1171,44498,0,4526.104110211065,2022-09-05
133,North,Smartphone,Hamza,14,1656,23184,0,3794.946580424572,2020-02-03
134,West,Laptop,Sara,12,342,4104,15,944.1244611240609,2024-11-05
135,South,Monitor,Sara,39,283,11037,0,2379.4854367530893,2020-09-09
136,East,Smartphone,Emma,50,464,23200,0,7891.2026587614,2020-12-29
137,West,Tablet,Sara,31,1594,49414,15,14706.819589896846,2024-12-28
138,West,Smartphone,Sophia,41,1070,43870,10,15480.177298801596,2024-06-14
139,East,Smartphone,Sara,21,152,3192,0,1005.4950797969276,2020-02-04
140,East,Smartphone,Sara,39,732,28548,10,6229.078220526321,2021-02-22
141,East,Mouse,Hamza,27,1256,33912,10,10750.792378885604,2023-07-08
142,West,Keyboard,Emma,5,1790,8950,10,1783.841567816082,2021-12-23
143,East,Keyboard,Emma,15,1300,19500,20,5996.43137685111,2024-01-03
144,East,Laptop,David,29,742,21518,15,3140.8366045120138,2021-03-21
145,North,Tablet,John,23,498,11454,10,3724.7390320451973,2024-04-30
146,East,Mouse,David,23,109,2507,15,802.3442345661225,2020-11-17
147,East,Mouse,Sara,49,1505,73745,20,19369.956039760382,2024-04-14
148,North,Printer,Sara,44,1787,78628,20,9442.107045508286,2024-09-12
149,North,Monitor,David,11,839,9229,15,1381.3901032090955,2023-08-26
150,East,Keyboard,Sophia,6,1441,8646,0,2557.92010726762,2020-03-26
151,West,Printer,Sophia,24,1838,44112,20,12053.660049353422,2020-07-17
152,South,Smartphone,Emma,42,1080,45360,5,11650.381578908562,2023-03-11
153,South,Monitor,Sara,15,832,12480,10,2567.3191657110397,2020-07-06
154,North,Laptop,Hamza,3,1424,4272,0,1421.7101499536357,2022-04-17
155,East,Laptop,Hamza,40,681,27240,15,7724.487357991522,2020-10-12
156,South,Mouse,Hamza,18,1387,24966,10,4419.1737430027715,2023-01-13
157,North,Tablet,Sara,50,355,17750,5,4345.5381844547,2022-11-25
158,West,Laptop,Sophia,29,1218,35322,0,4194.394050224354,2022-07-19
159,South,Laptop,John,30,768,23040,10,6569.782247728318,2021-02-17
160,West,Printer,Sophia,18,143,2574,15,836.3809464255522,2021-06-24
161,West,Printer,John,1,1566,1566,20,424.1805417365482,2023-07-05
162,East,Keyboard,Sophia,20,1844,36880,5,13490.065456981703,2024-07-03
163,East,Laptop,David,1,1789,1789,0,682.7117525663164,2023-03-31
164,West,Smartphone,Hamza,44,827,36388,15,4755.0765359395555,2022-12-06
165,West,Monitor,Hamza,4,1973,7892,10,2085.9108972143167,2023-09-08
166,North,Smartphone,Emma,33,627,20691,20,2591.669964154485,2022-08-11
167,West,Printer,Hamza,27,891,24057,20,5761.108162421169,2020-09-20
168,North,Smartphone,Sara,25,225,5625,15,1467.192355679234,2024-12-03
169,West,Tablet,Hamza,17,1692,28764,20,2918.2837434903104,2024-04-28
170,East,Laptop,Ali,5,1252,6260,15,1111.030214430133,2020-07-27
171,South,Printer,Emma,37,923,34151,10,8922.84783829203,2021-01-06
172,East,Printer,Hamza,43,305,13115,15,1196.9526816978757,2020-01-13
173,North,Tablet,Sophia,38,980,37240,20,7579.292984243393,2024-06-23
174,East,Tablet,David,7,261,1827,20,372.93759909225065,2021-10-11
175,West,Monitor,David,9,1625,14625,0,3670.4941561635383,2020-01-26
176,East,Laptop,Emma,2,751,1502,20,378.8994050380854,2023-01-01
177,East,Monitor,Hamza,28,626,17528,15,2993.9219468430815,2020-10-09
178,East,Monitor,David,38,1625,61750,15,14462.303267047746,2023-10-15
179,North,Monitor,David,38,398,15124,5,1782.2606746294218,2023-10-08
180,East,Tablet,Emma,12,1574,18888,20,4457.098961639718,2024-08-04
181,West,Printer,John,12,637,7644,5,731.3175478263092,2021-10-22
182,West,Laptop,David,38,1091,41458,10,10963.921904989362,2020-08-04
183,South,Printer,Ali,10,1807,18070,20,4988.492554772625,2021-07-18
184,East,Monitor,Sara,30,201,6030,0,2115.3929058568738,2022-11-23
185,South,Tablet,Sophia,28,604,16912,0,1973.4017944267448,2024-05-18
186,North,Laptop,Hamza,35,751,26285,0,8407.96491771341,2022-08-09
187,South,Keyboard,David,16,351,5616,15,557.4517809874907,2022-11-16
188,North,Mouse,John,2,994,1988,5,317.6526126157378,2023-08-26
189,East,Smartphone,John,18,1753,31554,15,4906.464322249692,2023-09-04
190,South,Laptop,David,2,1065,2130,0,218.07691357759683,2022-10-05
191,East,Printer,John,27,1799,48573,5,15273.45164899045,2024-11-17
192,East,Tablet,Ali,41,954,39114,15,12788.260271441422,2021-05-22
193,North,Mouse,Sophia,35,731,25585,10,5292.854872398583,2021-09-17
194,South,Mouse,Sara,28,264,7392,20,1437.1812554567432,2023-04-08
195,East,Mouse,Hamza,27,1786,48222,20,7072.404327893991,2020-04-04
196,South,Monitor,David,41,1775,72775,10,20907.924327741388,2024-02-20
197,North,Tablet,Ali,5,1088,5440,10,1330.7291237759725,2023-09-10
198,East,Tablet,Emma,33,1228,40524,20,3674.601509417986,2022-05-15
199,East,Monitor,Ali,2,1816,3632,5,527.8385976601891,2022-07-17
200,East,Keyboard,Ali,21,1477,31017,20,3812.5926624185704,2021-02-04
201,East,Mouse,Ali,40,236,9440,5,2073.6478317578967,2021-05-20
202,West,Smartphone,David,41,974,39934,15,6297.0727198053555,2023-07-10
203,West,Monitor,Emma,16,1246,19936,5,4082.083423658764,2024-01-18
204,North,Tablet,Emma,18,1467,26406,0,9686.579102709793,2020-07-04
205,West,Tablet,Ali,18,1171,21078,5,2194.493570856533,2023-04-19
206,South,Tablet,John,28,1466,41048,0,8575.051603681819,2023-06-26
207,East,Mouse,Sophia,33,1440,47520,0,4945.452669634855,2021-09-02
208,West,Mouse,Hamza,47,889,41783,20,3634.7965308551475,2023-12-04
209,North,Keyboard,David,1,1995,1995,5,620.6738524642533,2023-08-19
210,North,Smartphone,Ali,25,909,22725,5,3073.8928796657424,2020-02-12
211,North,Laptop,David,2,1563,3126,10,1055.6233621574738,2020-11-30
212,East,Keyboard,Sara,10,1227,12270,5,3388.6018647769392,2022-11-26
213,East,Mouse,John,17,1201,20417,15,2896.328481199926,2022-11-28
214,West,Printer,Ali,32,1364,43648,10,14438.614233568122,2021-09-20
215,East,Monitor,Sara,11,822,9042,10,2730.5641012325837,2022-02-14
216,West,Tablet,David,40,562,22480,5,2309.9342866886655,2020-03-08
217,East,Printer,Hamza,24,1584,38016,10,5962.764057005764,2024-04-15
218,East,Keyboard,Sara,35,896,31360,0,3207.859826712167,2021-01-23
219,East,Printer,Sara,23,835,19205,10,3403.527006269122,2022-04-16
220,East,Printer,Hamza,38,1084,41192,15,3691.623611401052,2023-04-13
221,East,Monitor,David,36,1438,51768,0,10663.427388194472,2023-09-11
222,West,Printer,Sara,15,1800,27000,0,9688.995854810293,2020-09-16
223,West,Tablet,David,13,1019,13247,0,3815.9742769529107,2020-01-12
224,East,Keyboard,David,35,1825,63875,15,8671.884959470366,2022-06-05
225,East,Keyboard,Sophia,32,1034,33088,15,2997.5751756971817,2024-09-19
226,North,Printer,Ali,42,1539,64638,5,19120.316326559114,2023-11-09
227,North,Smartphone,Hamza,30,1429,42870,15,9375.3281225274,2022-03-31
228,West,Smartphone,John,10,1552,15520,10,2632.071464303723,2022-09-28
229,East,Mouse,Emma,22,1113,24486,0,9636.010356894421,2024-08-15
230,East,Tablet,Emma,34,1738,59092,10,13115.354123356523,2022-08-01
231,North,Printer,Sophia,32,587,18784,15,3043.471340624254,2023-05-26
232,North,Monitor,Sophia,25,1843,46075,0,12623.97902282756,2024-10-02
233,West,Mouse,Hamza,7,985,6895,20,1533.8424834205737,2022-02-07
234,East,Laptop,Hamza,4,726,2904,5,675.4811130052318,2024-01-25
235,West,Laptop,David,21,1728,36288,20,6886.082198460303,2022-10-22
236,South,Mouse,Emma,31,265,8215,10,2497.3807732880773,2024-07-08
237,South,Mouse,David,14,1908,26712,0,6736.213811863489,2024-12-15
238,East,Keyboard,Sophia,41,1822,74702,0,19629.359266262563,2022-03-08
239,South,Mouse,Sophia,46,217,9982,15,1109.6937403713246,2021-06-03
240,East,Tablet,Sophia,37,704,26048,0,4765.046518064521,2022-09-01
241,West,Keyboard,Sara,6,1587,9522,0,1783.353625016712,2023-05-08
242,West,Keyboard,Ali,39,1563,60957,0,7639.878472647445,2020-05-14
243,North,Printer,Ali,14,985,13790,5,3630.9057089198313,2020-08-21
244,South,Tablet,Hamza,29,1743,50547,0,9453.098779595539,2023-02-27
245,West,Mouse,Ali,24,346,8304,15,1369.0135014627094,2023-05-24
246,East,Keyboard,Sara,27,239,6453,15,1874.8174546519963,2022-12-01
247,West,Smartphone,Ali,36,1513,54468,0,14906.911558609161,2022-10-06
248,West,Smartphone,John,28,1651,46228,15,6714.59858416508,2024-01-03
249,East,Monitor,David,29,1919,55651,20,14084.921873216908,2023-11-19
250,North,Laptop,Emma,27,366,9882,5,1141.8367776986406,2023-01-20
251,South,Tablet,Ali,34,120,4080,20,394.08401648254323,2022-09-24
252,East,Printer,David,26,129,3354,10,489.7810182687826,2020-04-04
253,West,Mouse,John,13,1029,13377,5,3010.6023627257396,2020-05-23
254,North,Laptop,Sophia,44,933,41052,15,7981.218382343605,2021-08-11
255,South,Tablet,Sophia,21,673,14133,20,4311.853972457339,2024-09-18
256,West,Tablet,Hamza,36,1845,66420,15,10043.267126826837,2021-04-23
257,West,Laptop,Ali,38,603,22914,15,7271.264982325701,2021-12-07
258,South,Laptop,Sara,43,1863,80109,15,9873.979533047444,2022-04-01
259,South,Laptop,Sophia,43,866,37238,5,6084.626664827228,2023-03-25
260,West,Monitor,Hamza,50,574,28700,10,6849.003742087147,2021-09-27
261,East,Smartphone,David,24,1690,40560,15,12587.546492757829,2020-01-11
262,South,Monitor,Emma,30,1569,47070,15,4081.935094690251,2023-09-01
263,North,Mouse,David,47,1171,55037,5,10984.468263291237,2022-07-11
264,South,Laptop,Hamza,29,1015,29435,15,7331.531628715784,2021-12-01
265,South,Monitor,Ali,7,865,6055,10,1165.5448110840584,2020-11-19
266,West,Mouse,David,20,692,13840,20,3784.334291130993,2021-06-09
267,South,Keyboard,Sara,27,1673,45171,5,12558.588652263996,2022-08-19
268,North,Laptop,Hamza,46,1240,57040,0,11965.043393376667,2022-10-29
269,North,Smartphone,David,50,353,17650,20,4714.304099795165,2020-07-02
270,South,Smartphone,David,1,213,213,5,55.965406224156375,2022-04-03
271,East,Printer,David,46,778,35788,0,8722.439755468962,2020-10-10
272,West,Laptop,Sara,34,1901,64634,20,7577.392855538753,2020-08-14
273,West,Smartphone,Emma,42,1254,52668,20,13363.57343214208,2024-10-22
274,West,Mouse,Sophia,9,416,3744,15,738.2323250625009,2021-03-05
275,West,Mouse,Emma,11,298,3278,15,554.8531182634378,2024-06-30
276,West,Laptop,David,30,1610,48300,20,4073.268945876712,2023-03-12
277,West,Mouse,Hamza,33,1273,42009,10,5038.801381491941,2021-03-06
278,East,Smartphone,Emma,29,224,6496,5,1153.6143491577643,2022-12-08
279,South,Laptop,David,6,1730,10380,15,1986.431279995941,2020-12-12
280,South,Monitor,Sophia,30,482,14460,0,4806.944720908201,2024-01-09
281,East,Monitor,Hamza,6,1059,6354,5,1393.1117429501921,2024-11-03
282,West,Monitor,Emma,39,1767,68913,0,18270.160683253776,2023-04-12
283,North,Smartphone,Emma,20,1232,24640,20,3912.956615040598,2023-08-26
284,East,Keyboard,Ali,36,1389,50004,15,9572.932283295395,2023-07-02
285,West,Mouse,Sara,8,332,2656,20,707.1164280714132,2021-07-22
286,South,Smartphone,Emma,25,448,11200,0,1922.940558832887,2023-09-25
287,East,Laptop,Hamza,39,151,5889,0,1033.4993327172294,2022-03-28
288,South,Mouse,John,1,1391,1391,0,180.6512648858069,2020-05-30
289,North,Mouse,John,49,1918,93982,0,31256.53652388251,2021-04-01
290,East,Tablet,Ali,25,1284,32100,20,4455.300688838573,2022-03-05
291,East,Keyboard,Sara,43,1400,60200,10,7591.215079872169,2023-03-23
292,West,Monitor,Sophia,15,986,14790,0,2936.2749349645155,2022-08-06
293,North,Laptop,Emma,29,451,13079,20,1425.725092055768,2023-01-07
294,West,Smartphone,Sophia,18,546,9828,20,1415.5591842836902,2020-09-07
295,East,Monitor,Ali,41,942,38622,0,12712.42281892727,2024-09-24
296,West,Smartphone,Sophia,39,1387,54093,10,19005.859462515167,2023-01-04
297,West,Printer,Emma,17,904,15368,5,5319.720459807328,2021-09-07
298,North,Printer,Ali,17,563,9571,10,1383.4632931764206,2020-05-05
299,North,Monitor,Emma,11,1221,13431,10,1327.6652572196456,2022-03-16
300,South,Mouse,Sophia,12,1852,22224,5,5837.932595570581,2021-12-03
301,West,Mouse,Sara,36,171,6156,10,1444.314968064391,2021-05-16
302,East,Tablet,Emma,26,1939,50414,15,11323.943364939254,2023-02-24
303,West,Laptop,Emma,29,1203,34887,20,4796.808359151606,2024-11-27
304,South,Keyboard,Sara,10,1585,15850,15,4494.070063127754,2022-05-29
305,South,Monitor,David,15,562,8430,20,1760.4292782314062,2021-07-07
306,North,Smartphone,John,50,806,40300,10,9697.071368889565,2021-09-16
307,East,Laptop,John,35,1106,38710,15,11043.854889481558,2020-04-28
308,North,Laptop,Hamza,40,1467,58680,10,7958.12840303822,2022-03-10
309,North,Tablet,Hamza,1,249,249,15,39.33961412763068,2021-04-23
310,West,Keyboard,Sophia,50,656,32800,20,6759.255843562585,2020-06-28
311,South,Mouse,Ali,25,143,3575,15,1071.9338673156083,2023-07-18
312,North,Monitor,Ali,2,1839,3678,20,921.0564650926533,2022-06-20
313,West,Laptop,David,17,600,10200,10,2675.8871910772114,2023-06-28
314,North,Tablet,John,33,117,3861,5,931.8784026999718,2021-10-03
315,South,Laptop,Sara,5,137,685,10,179.36201108335555,2024-06-12
316,South,Mouse,Emma,37,574,21238,15,4263.915669191411,2022-03-28
317,South,Smartphone,Sara,45,1469,66105,15,7595.869750490422,2023-07-12
318,North,Mouse,John,39,394,15366,15,5048.037540561615,2024-01-04
319,South,Mouse,David,36,1176,42336,5,5437.154357292991,2023-08-01
320,East,Laptop,Sophia,20,1456,29120,15,5138.9757741728745,2022-02-15
321,East,Printer,Sophia,8,553,4424,5,1098.764543974028,2022-11-23
322,East,Smartphone,John,38,1946,73948,20,8383.001485739154,2024-08-23
323,South,Tablet,Sophia,45,525,23625,0,3155.6454993255634,2020-03-16
324,South,Laptop,Hamza,1,395,395,0,126.89469281273377,2023-01-14
325,West,Smartphone,Ali,29,1032,29928,5,9686.996642047645,2022-05-31
326,South,Smartphone,Sophia,40,589,23560,10,2968.3405683724313,2021-02-16
327,West,Monitor,John,16,753,12048,15,3580.477518396622,2020-02-16
328,North,Laptop,Sara,46,656,30176,5,3324.356673748207,2023-10-11
329,West,Smartphone,Ali,43,1669,71767,0,15404.907956272122,2021-09-07
330,South,Monitor,David,16,1699,27184,5,5388.548888797389,2022-08-13
331,South,Printer,Emma,50,1034,51700,15,10986.359442269824,2020-04-18
332,North,Keyboard,Sophia,47,1823,85681,10,24075.483059223647,2023-08-31
333,East,Printer,Hamza,13,461,5993,5,904.2003496740941,2024-08-14
334,East,Monitor,Ali,14,1346,18844,10,6513.179751191111,2022-05-11
335,North,Tablet,Sara,37,1866,69042,20,12626.328338789232,2021-05-16
336,South,Keyboard,John,48,1437,68976,15,15346.187283105004,2020-05-21
337,West,Tablet,David,49,1769,86681,10,27804.25278307027,2021-10-30
338,North,Mouse,Sophia,15,1479,22185,10,5446.315543411708,2020-10-13
339,South,Printer,Sophia,13,1404,18252,5,3733.1004257461245,2024-03-17
340,East,Monitor,Ali,23,1806,41538,0,4557.419363601501,2024-12-12
341,East,Keyboard,Sophia,35,1884,65940,0,19625.15763661641,2021-05-21
342,West,Mouse,John,4,371,1484,0,392.81268497394575,2020-06-20
343,South,Smartphone,Sara,15,1607,24105,20,7187.473902715149,2021-03-05
344,North,Keyboard,David,41,1655,67855,0,26488.54655303645,2021-05-04
345,West,Keyboard,David,32,237,7584,5,2237.933224184052,2022-04-08
346,East,Mouse,Sophia,10,980,9800,20,2709.9270352388808,2021-03-04
347,North,Monitor,Ali,31,679,21049,0,6910.567638101274,2024-10-23
348,South,Monitor,Sophia,39,1341,52299,10,9512.393098229892,2023-09-04
349,North,Mouse,Sophia,41,533,21853,10,6030.609922059813,2021-07-15
350,South,Monitor,Hamza,5,1909,9545,20,802.2457378978403,2024-09-09
351,South,Monitor,David,23,981,22563,20,2330.2023214588776,2024-07-07
352,South,Tablet,Sophia,2,1415,2830,10,361.8905672321654,2020-08-13
353,North,Printer,Sophia,42,1565,65730,0,16179.987870625537,2024-04-05
354,West,Tablet,Hamza,49,1143,56007,20,12014.038089862179,2024-06-09
355,West,Printer,David,13,594,7722,15,2516.4361897363638,2022-01-10
356,South,Tablet,John,33,773,25509,10,3082.813002547122,2021-10-05
357,East,Keyboard,John,17,382,6494,0,1293.8745430511556,2020-02-08
358,South,Mouse,Ali,16,1052,16832,5,2811.0729707778933,2020-10-24
359,West,Monitor,Sophia,9,441,3969,10,1416.1928552715403,2021-09-29
360,South,Keyboard,Sophia,44,120,5280,20,1234.9018587025753,2020-04-13
361,West,Tablet,John,5,869,4345,15,567.7106432682205,2020-10-01
362,East,Laptop,Sara,39,834,32526,5,3694.6737193013078,2021-11-22
363,West,Smartphone,Emma,27,1011,27297,15,3541.7097247133215,2024-02-18
364,North,Laptop,Sara,8,1808,14464,20,2222.9756260014033,2024-03-03
365,East,Keyboard,Sophia,29,1659,48111,20,5116.053927806572,2022-01-02
366,East,Laptop,Sara,11,1814,19954,0,3894.606830258051,2022-09-14
367,North,Smartphone,Sara,5,397,1985,10,419.67936498953304,2020-08-07
368,West,Keyboard,Ali,3,750,2250,20,573.6978209412955,2020-05-04
369,North,Tablet,John,44,819,36036,5,4366.200820920138,2022-07-27
